ID,Tweet,Target,Stance
1,You COWARD... you should have been at THE WHITE HOUSE CORRESPONDENCE DINNER Honoring the FIRST AMENDMENT! #FirstAmendment #Trump,Donald Trump,AGAINST
2,"Cool. I trust he requested the same records for don jr, ivanka, Eric and jarrod? #Trump",Donald Trump,AGAINST
3,Off your meds again Donnie? You are surrounded by criminals of all sorts! We love California and our gov so F off! #ThugPresident #Kleptocracy #MuellerIsComing #Trump,Donald Trump,AGAINST
4,That has to happen anyway. But his profits will be forfeit when he's convicted of treason with the rest of the #Trump,Donald Trump,AGAINST
5,This is so stupid. Unmasking lets them know who it is. If trumps kids were unmasked they were talking to people under investigation who they shouldn't have been talking to. The wow is the trump family was working with the Russians. #Trump Now trump is killing Americans,Donald Trump,AGAINST
6,"Its importantto remember that the #GOP has tolerated, enabled, &amp; even supported all that @realDonaldTrump has done to destroy our alliances, our democratic institutions, and the rule of law. #PutinOwnsTrump",Donald Trump,AGAINST
7,"Really good take. ""Of course Ivanka isnt coming to save you. She couldnt even save herself."" #IvankaTrump #Trump",Donald Trump,AGAINST
8,"Its true, what other first lady have you heard called a ""gorilla,"" and ""ape"" or just plain ""ugly?"" Poor Melania. I cannot imagine being her. #bullshit #cheetojesus #Trump",Donald Trump,AGAINST
9,"His entire life, his dads, his kids, all of it - is one giant web of crimes. #SDNY #Trump Oval Office -&gt;Prison Expressway!",Donald Trump,AGAINST
10,Seems to me that Cohen should be protected so he may sing to help Americans take back our United States of America! #LockThemUp #Resign #TrumpKnew #Trump,Donald Trump,AGAINST
11,"Whatever. Meanwhile, Cohen is getting the attention you seek. I think the Trump family will be getting an invitation to see some Democrats.",Donald Trump,AGAINST
12,Limited further commentary required. Simply #Trump Grifters gonna grift: Twitter celebrates as the Trump family is forced to deal with a pyramid scheme lawsuit -,Donald Trump,AGAINST
13,@TheDemocrats New Majority is going to be so satisfying to watch. Heres just a taste of what to expect. Accountability is coming. #Trump,Donald Trump,AGAINST
14,"Yo be fair, if my life was so pathetic as to be involved with #Trump - Id Kill Myself Too!",Donald Trump,AGAINST
15,#Trump is literally pushing the U.S. into a dark corner out of world influence. We are becoming 3rd world nation. Healthcare only for the rich Economies only for the rich Government only for the rich And poor (literally no wealth) Republicans cheer him on.,Donald Trump,AGAINST
16,"Now that 'Trump Foundation' has been forced to cease and desist, Trump perhaps has found another way to build the #Trump slush fund.",Donald Trump,AGAINST
17,"Again #LiarInChief you lie. @gtconway3d said NO to you &amp; your job. Also did you know that you are often referred as #presidentpredator &amp; #Trump &amp; #trumpetaPendejo &amp; that we all know you are envious of President Obama because of his success, class &amp; intelligence?",Donald Trump,AGAINST
18,I challenge you Mueller has enough evidence to send @realDonaldTrump to jail #LockHimUp #LockThemAllUp,Donald Trump,AGAINST
19,"Evil, #corrupttrump #Trumps words and tweets do NOT age well like him! Too bad you just cant call the Plastic Surgeon to cover them up with Botox like the whole #Trump does! #ICantBreath",Donald Trump,AGAINST
20,"Youre right. However, spreading false information helped sway uneducated voters. The only way #Trump can win, is by cheating.",Donald Trump,AGAINST
21,"No president under criminal investigation should be allowed anywhere near a Supreme Court pick. You and #CrookedMcConnell stole the last one from the last real president, #PresidentObama, so go get fitted for your orange jumpsuit, #CrookedTrump. #LockHimUp #Trump",Donald Trump,AGAINST
22,"What is this? Take your pampered, overindulged, privileged child to work day? #Trump",Donald Trump,AGAINST
23,#Trump and the #GOP know very well that their #MAGA cult following will believe every lie that comes out of their mouths! Its a tactic straight out is the playbook of one of the idols!,Donald Trump,AGAINST
24,Brett Kavanaugh won't pass his lie detector test and subsequently will be prosecuted for perjury. You picked a real peach there. His only qualification is that he would let the #Trump off the hook. #StopKavanaugh,Donald Trump,AGAINST
25,Thank you Rep. Lieu for speaking truth to illegitimate power! #TrumpIncitingViolence #Trump,Donald Trump,AGAINST
26,Something tells me this isn't another test run before pardoning the #Trump associates,Donald Trump,AGAINST
27,"@EricTrump Keep lying for daddy, the crime family, republiCUTNS and fox news. #erictrumplies #ericsucks",Donald Trump,AGAINST
28,There's two impeachment articles to be drafted... 1. Do Nothing Trump #TrumpPlague 2. Dictator Trump #Trump And Democrats will submit both if Trump wins #Election2020,Donald Trump,AGAINST
